name,price,brand,size,instance_id
Sony microSDXC UHS-1 U3 128GB memóriakártya + adapter (SRG1UZA),69890.0,SONY,128 GB,altosight.com//26
SanDisk Cruzer U &quot;Pink&quot; 32 GB-os Pendrive,7490.0,SANDISK,32 GB,altosight.com//59
"SANDISK DUAL DRIVE, TYPE-C, USB 3.0, 32GB, 150 MB/S",9990.0,SANDISK,32 GB,altosight.com//67
LEXAR USB 16GB V-10,15.0,LEXAR,16 GB,altosight.com//149
SANDISK Ultra Performance Class 10 microSD Memory Card - 16 GB,19.99,SANDISK,16 GB,altosight.com//205
SANDISK Ultra Plus Class 10 SD Memory Card - 128 GB,69.99,SANDISK,128 GB,altosight.com//208
"Wysokiej jako?ci karta pami?ci microSD SR-UZA, która zosta?a zaprojektowana do zapisu zdj?? w wysokiej rozdzielczo?ci, obs?ugi szybkich trybów zdj?? seryjnych oraz filmowania w rozdzielczo?ci 4K lub Full HD (XAVC S), w trakcie korzystania z urz?dze? takich jak np. zaawansowane smartfony, tablety czy kamery sportowe. Wytrzyma?a obudowa zapewnia bezpiecze?stwo danych i odporno?? na wstrz?sy, kurz, py?, wilgo?, promieniowanie rentgenowskie i skrajne temperatury. Szybki odczyt wynosz?cy 95 MB/s i pozwala na swobodn? prac? w cyfrowej ciemni czy studiu monta?owym z profesjonalnymi aparatami cyfrowymi i kamerami. W zestawie z adapterem umo?liwiaj?cym ?atwe przes?anie danych z i do pami?ci komputera.",769.0,SONY,128 GB,altosight.com//305
"Karta pami?ci SDHC (Secure Digital High Capacity) gwarantuj?ca minimaln? szybko?? transferu 4 MB/s, kompatybilna tylko z urz?dzeniami obs?uguj?cymi standard SDHC. Obj?ta wieczyst? gwarancj?.",,Kingston,16 GB,altosight.com//328
Clé USB Lexar V30 64 GB USB 2.0 (4169433),29.9,LEXAR,64 GB,altosight.com//436
Clé USB Lexar P20 USB 3.0 64 GO (4187385),61.35,LEXAR,64 GB,altosight.com//439
Clé USB Lexar JumpDrive V10 16 Go USB 2.0 - JumpDriveV10 (1353950),13.02,LEXAR,16 GB,altosight.com//440
Clé USB Sandisk Cl&amp;eacute; USB 8GB Sandisk Cruzer Blade - Sous Blister,7.91,SANDISK,8 GB,altosight.com//455
Clé USB Sandisk CRUZER FIT 8 GO USB2.0,14.71,SANDISK,8 GB,altosight.com//466
Clé USB Sandisk GLIDE 64 GB 3.0,23.89,SANDISK,64 GB,altosight.com//478
Clé USB Sandisk Sandisk scalable 64 go usb 3.0,35.0,SANDISK,64 GB,altosight.com//484
Clé USB Sony Clé USB OTG 64Go tyce C et USB 3.1 - Clé USB USB OTG type C 64 Go (4190106),59.99,SONY,64 GB,altosight.com//502
Clé USB Sony SERIE W 3.1 128 GB (4246470),81.9,SONY,128 GB,altosight.com//503
