id,name,brand,size_gb,price
altosight_0,lexar 32gb 1400x 210mb/s professional xqd memóriakártya,lexar,32.0,31990.0
altosight_1,lexar 32gb 2933x professional xqd 2.0 memóriakártya,lexar,32.0,48890.0
altosight_2,lexar 64gb 1000x professional sdxc uhs-ii memóriakártya,lexar,64.0,23890.0
altosight_3,sandisk 128 gb sdxc ultra memóriakártya 80mb/s,sandisk,128.0,25690.0
altosight_4,sandisk 16 gb sdhc ultra memóriakártya 80mb/s,sandisk,16.0,5290.0
altosight_5,sandisk 32 gb sdhc ultra memóriakártya 80mb/s,sandisk,32.0,9690.0
altosight_6,sandisk 64 gb sdxc ultra memóriakártya 80mb/s,sandisk,64.0,15990.0
altosight_7,sandisk micro sdhc 16gb memóriakártya (csak kártya),sandisk,16.0,4790.0
altosight_8,sandisk micro sdhc  32 gb + adapter,sandisk,32.0,8890.0
altosight_9,sandisk micro sdxc ultra android kártya 64gb + adapter,sandisk,64.0,15690.0
altosight_10,sandisk microsd extreme 32gb memóriakártya + adapter,sandisk,32.0,11590.0
altosight_11,"sandisk microsdhc kártya 16 gb + adapter, class 4",sandisk,16.0,4890.0
altosight_12,sandisk 16gb sdhc memóriakártya,sandisk,16.0,4890.0
altosight_13,sandisk sdhc extreme 32 gb memóriakártya 90mb/s,sandisk,32.0,11190.0
altosight_14,sandisk sdhc extreme pro 32gb memóriakártya 300mb/s,sandisk,32.0,29190.0
altosight_15,sandisk sdhc extreme pro 32gb memóriakártya 95mb/s,sandisk,32.0,13990.0
altosight_16,sandisk sdxc extreme 128 gb memóriakártya 90mb/s,sandisk,128.0,29890.0
altosight_17,sandisk sdxc extreme 256 gb memóriakártya 90mb/s,sandisk,256.0,55890.0
altosight_18,sandisk sdxc extreme 64 gb memóriakártya 90mb/s,sandisk,64.0,18490.0
altosight_19,sandisk sdxc extreme pro 128gb memóriakártya 95mb/s,sandisk,128.0,34490.0
altosight_20,sandisk sdxc extreme pro 256gb memóriakártya 95mb/s,sandisk,256.0,62990.0
altosight_21,sandisk sdxc extreme pro 64gb memóriakártya 95mb/s,sandisk,64.0,21890.0
altosight_22,sandisk extreme pro sdxc 64gb memóriakártya 95mb/s,sandisk,64.0,20890.0
altosight_23,sony microsdhc uhs-1 u3 32gb memóriakártya + adapter (sr32uza),sony,32.0,16890.0
altosight_25,sony microsdxc uhs-1 u3 128gb memóriakártya + adapter (srg1uxa),sony,128.0,59990.0
altosight_26,sony microsdxc uhs-1 u3 128gb memóriakártya + adapter (srg1uza),sony,128.0,69890.0
altosight_27,sony microsdhc uhs-1 u3 32gb memóriakártya + adapter (sr32uxa),sony,32.0,19990.0
altosight_28,sony microsdxc uhs-1 u3 64gb memóriakártya + adapter (sr64uza),sony,64.0,28990.0
altosight_30,sony sdhc uhs-ii u3 32gb memóriakártya (sf32g),sony,32.0,39990.0
altosight_31,sony sdhc uhs-ii u3 32gb memóriakártya (sf32m),sony,32.0,29990.0
altosight_32,sony sdxc uhs-ii u3 64gb memóriakártya (sf64m),sony,64.0,44990.0
altosight_34,sony sdxc uhs-i u3 128gb memóriakártya (sfg1uz),sony,128.0,59990.0
altosight_36,sony sdxc uhs-ii u3 128gb memóriakártya (sfg1g),sony,128.0,129990.0
altosight_37,sony sdxc uhs-ii u3 128gb memóriakártya (sfg1g) + olvasó,sony,128.0,124990.0
altosight_38,sony sdxc uhs-ii u3 128gb memóriakártya (sfg1m),sony,128.0,64990.0
altosight_39,sony sdxc uhs-ii u3 64gb memóriakártya (sf64g),sony,64.0,69990.0
altosight_40,sony sdxc uhs-ii u3 64gb memóriakártya (sf64g) + olvasó,sony,64.0,52990.0
